customer_id,customer_unique_id,num_orders,avg_purchase_amount
fc3d1daec319d62d49bfb5e1f83123e9,4546caea018ad8c692964e3382debd19,21,9.34
bd5d39761aa56689a265d95d8d32b8be,698e1cf81d01a3d389d96145f7fa6df8,20,113.14
be1b70680b9f9694d8c70f41fa3dc92b,c402f431464c72e27330a67f7b94d4fb,20,110.12
10de381f8a8d23fff822753305f71cae,0f5ac8d5c31de21d2f25e24be15bbffb,15,81.71
adb32467ecc74b53576d9d13a5a55891,11f97da02237a49c8e783dfda6f50e8e,15,52.2
a7693fba2ff9583c78751f2b66ecab9d,f7ea4eef770a388bd5b225acfc546604,14,37.77
d5f2b3f597c7ccafbb5cac0bcc3d6024,31e412b9fb766b6794724ed17a41dfa6,14,72.43
7d321bd4e8ba1caf74c4c1aabd9ae524,7582a5a77fc2976628f46a13ec91b375,13,37.38
0d93f21f3e8543a9d0d8ece01561f5b2,ce9f8b9c31d83341764708396ac7e38b,12,36.81
3b54b5978e9ace64a63f90d176ffb158,d3383e8df3cd44cd351aecff92e34627,12,25.21
91f92cfee46b79581b05aa974dd57ce5,9eca552063680b7cd2ed0e8aea002b21,12,123.52
9eb3d566e87289dcb0acf28e1407c839,4d99682572b7b5932340a0bce676c18c,12,20.34
daf15f1b940cc6a72ba558f093dc00dd,37bc3d463e2a0024012a7fa587597a3c,12,103.91
8c20d9bfbc96c5d39025d77a3ba83d7f,eae0a83d752b1dd32697e0e7b4221656,11,180.78
be1c4e52bb71e0c54b11a26b8e8d59f2,d97b3cfb22b0d6b25ac9ed4e9c2d481b,11,77.63
d95ca02ab50105ccce682bdf9ffdc3b4,a5c6335399140e986db84120c425adf0,11,49.16
f4c13379ddd0ed4f4fc1c0b49c2c5e51,fe2b2f70f3dc31c23319ae1029eac77f,11,95.3
0d861a5e4dd6a9079d89e1330848f0ab,c8ed31310fc440a3f8031b177f9842c3,10,115.73
1ff773612ab8934db89fd5afa8afe506,ef8d54b3797ea4db1d63f0ced6a906e9,10,301.86
4a60b2ce1ee8c7b828e4bbcca5b86b41,20a5257c01689ac69410a14cb51bb447,10,176.71
